"customer_id","full_name","date_of_birth","gender","phone","email","address"
208333,Natalie Lewis,"1990-03-14",Female,"0903456789",natalie.lewis@example.com,"789 Pine Lane, District 5"
240810,Sophie Carter,"2001-04-01",Female,"0910123456",sophie.carter@example.com,"43 Fir Ct, District 11"
273081,Noah White,"1986-05-25",Male,"0915678901",noah.white@example.com,"153 Alder St, District 5"
280818,Chloe Young,"2000-06-14",Female,"0918901234",chloe.young@example.com,"219 Palm Ct, District 4"
283878,Emily Moore,"1983-02-12",Female,"0908901234",emily.moore@example.com,"90 Spruce St, District 8"
290814,Mia Thompson,"1994-03-30",Female,"0914567890",mia.thompson@example.com,"131 Dogwood Rd, District 3"
290837,Liam Davis,"1991-06-22",Male,"0907890123",liam.davis@example.com,"78 Ash Ave, District 7"
308395,Daniel Clark,"1979-12-05",Male,"0909012345",daniel.clark@example.com,"21 Redwood Dr, District 9"
320083,Olivia Evans,"1992-08-07",Female,"0904567890",olivia.evans@example.com,"12 Maple Blvd, District 10"
380817,Benjamin Walker,"1982-08-18",Male,"0917890123",benjamin.walker@example.com,"197 Magnolia Ln, District 7"
383332,Robert Russell,"1985-04-23",Male,"0901234567",robert.russell@example.com,"123 Elm Street, District 1"
390081,Ethan Scott,"1988-07-15",Male,"0911234567",ethan.scott@example.com,"65 Poplar Ln, District 2"
390813,Jack Adams,"1980-09-10",Male,"0913456789",jack.adams@example.com,"109 Cypress Blvd, District 1"
390836,Isabella Hill,"1995-10-31",Female,"0906789012",isabella.hill@example.com,"56 Birch Rd, District 6"
440820,Abigail Parker,"1993-12-29",Female,"0920123456",abigail.parker@example.com,"263 Bamboo St, District 9"
488195,James Robinson,"1975-10-02",Male,"0919012345",james.robinson@example.com,"241 Cottonwood Dr, District 8"
490812,Grace Hall,"1996-11-23",Female,"0912345678",grace.hall@example.com,"87 Willow Way, District 12"
540832,George Smith,"1978-11-02",Male,"0902345678",george.smith@example.com,"456 Oak Avenue, District 3"
870816,Lily Harris,"1993-01-07",Female,"0916789012",lily.harris@example.com,"175 Sequoia Ave, District 6"
970083,Henry Turner,"1987-01-19",Male,"0905678901",henry.turner@example.com,"34 Cedar St, District 4"
